사번,본부,실,팀,성명,직군,조직상역할,직위,직위연차,직무,최초입사일,생년월일,휴대폰번호_뒷4자리
8920711,경영지원본부,인재경영실,HR기획팀,배승은,일반,팀원,책임매니저,10,조직문화,2014-11-14,1981-08-27,0806
6672973,경영지원본부,인재경영실,인사운영팀,유상빈,일반,팀원,매니저,3,조직문화,2009-10-31,1989-06-13,0069
3280970,경영지원본부,경영기획실,경영기획팀,홍예성,일반,팀원,책임매니저,12,전략,2000-12-07,1992-08-14,5119
5437007,경영지원본부,구매지원실,자재구매팀,조진성,임원,실장,상무,1,자재구매,1994-06-22,1975-04-06,3365
3741906,경영지원본부,총무지원실,총무팀,남서연,일반,팀원,책임매니저,3,자산관리,2011-07-12,1991-07-30,6182
9757319,경영지원본부,구매지원실,구매기획팀,황영경,일반,팀장,책임매니저,2,구매기획,2002-12-07,1980-01-10,5016
9403875,경영지원본부,경영기획실,사업관리팀,송수민,일반,팀원,매니저,4,전략,2016-09-03,2001-01-26,6999
5890674,경영지원본부,총무지원실,총무팀,오영호,일반,팀원,매니저,5,자산관리,2025-11-10,1991-08-29,0436
3732383,경영지원본부,경영기획실,사업관리팀,심우민,일반,팀원,매니저,1,전략,2025-03-19,1989-01-28,3263
5537403,경영지원본부,재경실,회계팀,심민아,일반,팀원,매니저,3,재무,2011-05-18,1991-12-13,3446
7474990,경영지원본부,구매지원실,설비구매팀,이예민,일반,팀원,매니저,8,구매기획,2024-02-03,1997-05-18,6139
4288420,경영지원본부,총무지원실,총무팀,서윤희,일반,팀원,책임매니저,9,업무지원,2001-06-05,1974-01-13,2964
2492041,경영지원본부,인재경영실,HR기획팀,문수영,일반,팀원,매니저,8,HRD,2020-01-14,1984-09-10,5226
7826024,경영지원본부,인재경영실,인재개발팀,김진현,일반,팀원,매니저,5,HR기획,2023-08-18,1993-04-05,9960
1757415,경영지원본부,인재경영실,컬처디자인팀,최하우,일반,팀원,매니저,5,인사운영,2024-09-14,2002-01-29,3242
3816755,경영지원본부,구매지원실,자재구매팀,심하윤,일반,팀원,책임매니저,11,구매기획,1997-01-11,1974-02-04,0406
6556273,경영지원본부,총무지원실,총무팀,박주민,일반,팀원,매니저,2,업무지원,2007-03-05,1984-03-14,4077
8769297,경영지원본부,재경실,세무팀,배진윤,일반,팀원,책임매니저,1,재무,2012-05-22,1975-09-06,5504
3934254,경영지원본부,재경실,세무팀,오서원,일반,팀원,매니저,2,회계,2016-03-09,1988-07-04,4040
1989201,경영지원본부,총무지원실,총무팀,서수빈,일반,팀원,매니저,7,총무,2013-11-01,2002-10-08,2641
8325531,경영지원본부,경영기획실,전략기획팀,정지지,일반,팀원,매니저,1,사업관리,2017-12-09,1999-05-23,9293
3186502,경영지원본부,인재경영실,인사운영팀,황지아,일반,팀원,책임매니저,2,HR기획,2003-09-05,1984-03-02,3253
6879839,경영지원본부,인재경영실,인사운영팀,권수호,일반,팀원,매니저,3,HRD,2021-07-02,1994-10-02,5382
7697626,경영지원본부,인재경영실,인재개발팀,백준진,일반,팀장,책임매니저,2,HRD,2010-06-06,1988-06-12,8737
8866055,경영지원본부,인재경영실,인재개발팀,정승지,일반,팀원,책임매니저,1,HR기획,2010-10-14,1989-06-17,7883
3436946,경영지원본부,재경실,세무팀,윤하민,일반,팀원,매니저,6,재무,2021-11-12,1992-06-11,9641
4856827,경영지원본부,경영기획실,경영기획팀,심혜경,일반,팀원,매니저,2,경영기획,2025-01-06,1991-04-28,9432
1256101,경영지원본부,재경실,회계팀,유윤현,일반,팀원,매니저,5,회계,2016-04-13,1990-06-22,1651
9268736,경영지원본부,경영기획실,전략기획팀,김재아,임원,실장,상무,5,사업관리,2005-04-11,1976-10-13,8956
8360446,경영지원본부,경영기획실,경영기획팀,심수경,일반,팀원,매니저,1,사업관리,2018-03-26,1998-03-30,7746
4200008,경영지원본부,경영기획실,전략기획팀,장도준,일반,팀원,매니저,8,사업관리,2007-12-14,1990-09-15,2218
9670435,경영지원본부,재경실,세무팀,김성수,일반,팀원,책임매니저,11,재무,2011-08-05,1985-03-03,3283
7508331,경영지원본부,경영기획실,전략기획팀,고우우,일반,팀원,매니저,2,경영기획,2009-08-04,2001-09-09,2268
7189232,경영지원본부,경영기획실,전략기획팀,권민윤,일반,팀원,매니저,4,전략,2025-04-18,1986-10-31,5065
1837399,경영지원본부,구매지원실,자재구매팀,배주지,일반,팀원,책임매니저,11,설비구매,1999-10-31,1979-03-17,3100
4864393,경영지원본부,경영기획실,전략기획팀,정도호,일반,팀원,매니저,4,사업관리,2008-01-31,1988-10-24,4521
5015824,경영지원본부,재경실,세무팀,양윤호,일반,팀원,매니저,2,회계,2018-08-03,1993-02-27,8088
1328951,경영지원본부,구매지원실,설비구매팀,문윤지,일반,팀원,매니저,8,구매기획,2021-04-12,1992-05-11,3594
8200573,경영지원본부,총무지원실,자산관리팀,장민수,일반,팀원,매니저,2,총무,2013-10-28,1995-06-24,9792
7604321,경영지원본부,구매지원실,설비구매팀,조민현,일반,팀원,책임매니저,2,구매기획,2015-01-18,1980-10-05,2189
7629515,경영지원본부,재경실,회계팀,손태영,일반,팀장,책임매니저,4,재무,2008-05-22,1977-04-21,0451
1782731,경영지원본부,구매지원실,자재구매팀,윤윤우,일반,팀원,매니저,1,구매기획,2023-05-07,1999-08-27,2428
5890425,경영지원본부,총무지원실,총무팀,김상준,일반,팀원,매니저,3,업무지원,2021-07-20,1986-04-23,3399
7984656,경영지원본부,총무지원실,자산관리팀,임상연,일반,팀원,책임매니저,2,총무,2018-01-30,1989-06-04,9882
9835499,경영지원본부,총무지원실,자산관리팀,최재은,일반,팀원,책임매니저,10,업무지원,2000-01-11,1976-03-25,5405
9230166,경영지원본부,경영기획실,전략기획팀,홍수빈,일반,팀원,매니저,6,사업관리,2020-07-27,1998-05-13,0416
5243736,경영지원본부,구매지원실,자재구매팀,최지아,일반,팀원,매니저,6,구매기획,2016-02-19,2001-02-19,3787
3421442,경영지원본부,경영기획실,전략기획팀,이혜석,일반,팀원,매니저,5,사업관리,2026-06-21,1991-08-15,1518
3844312,경영지원본부,경영기획실,경영기획팀,최재아,일반,팀원,매니저,2,사업관리,2014-08-29,1998-06-15,8862
4740191,경영지원본부,구매지원실,구매기획팀,심수현,일반,팀원,매니저,5,자재구매,2017-02-17,2000-03-24,3198
8934627,경영지원본부,경영기획실,전략기획팀,이민호,일반,팀원,매니저,1,사업관리,2010-08-10,1991-04-01,2210
6642490,경영지원본부,총무지원실,업무지원팀,송재아,일반,팀원,매니저,8,자산관리,2024-02-20,1999-07-02,7336
6505674,경영지원본부,총무지원실,총무팀,심현빈,임원,실장,상무,3,업무지원,2000-04-08,1975-11-15,3871
9673924,경영지원본부,경영기획실,전략기획팀,최하수,일반,팀원,책임매니저,10,사업관리,1999-10-14,1988-04-05,8351
6587360,경영지원본부,경영기획실,경영기획팀,손예영,임원,본부장,부사장,2,사업관리,1987-07-24,1972-01-28,3880
6635158,경영지원본부,구매지원실,설비구매팀,배지연,일반,팀원,매니저,5,자재구매,2011-03-24,1984-06-03,2305
1205784,경영지원본부,인재경영실,인사운영팀,백재혁,일반,팀원,매니저,4,조직문화,2014-11-24,1990-11-27,2242
3394236,경영지원본부,재경실,회계팀,손도준,일반,팀원,매니저,2,재무,2013-11-26,1991-10-27,4435
9229260,경영지원본부,재경실,회계팀,백수지,일반,팀원,매니저,7,재무,2016-05-14,1989-10-21,8884
4151017,경영지원본부,구매지원실,구매기획팀,정하아,일반,팀원,매니저,8,설비구매,2014-08-18,1991-09-26,1984
1464815,경영지원본부,경영기획실,전략기획팀,백하수,일반,팀원,매니저,1,사업관리,2023-10-06,1989-01-17,1325
6084725,경영지원본부,재경실,회계팀,고진연,임원,본부장,부사장,2,세무,1998-10-17,1973-06-05,9504
2472984,경영지원본부,총무지원실,총무팀,오주진,일반,팀원,매니저,3,자산관리,2012-10-09,1998-11-24,3565
6250621,경영지원본부,인재경영실,인사운영팀,고우원,일반,팀원,매니저,1,조직문화,2024-11-21,1987-11-03,2785
7414430,경영지원본부,총무지원실,총무팀,심영우,일반,팀원,매니저,1,업무지원,2010-12-22,2002-07-26,1688
8501252,경영지원본부,경영기획실,사업관리팀,강예석,일반,팀원,매니저,1,사업관리,2011-11-08,1984-12-21,9683
6423444,경영지원본부,경영기획실,전략기획팀,심성현,일반,팀원,매니저,3,전략,2011-01-18,1993-04-14,2516
9849879,경영지원본부,인재경영실,인재개발팀,황예아,일반,팀원,책임매니저,5,인사운영,1996-04-11,1973-05-04,8873
2064529,경영지원본부,인재경영실,인재개발팀,홍윤우,일반,팀원,매니저,1,인사운영,2019-09-29,1994-01-07,4317
3921237,경영지원본부,경영기획실,경영기획팀,전서윤,일반,팀원,매니저,7,전략,2014-03-24,1985-10-01,8975
5987899,경영지원본부,구매지원실,구매기획팀,박하원,일반,팀원,매니저,2,자재구매,2012-07-20,1998-01-07,1882
7894509,경영지원본부,경영기획실,전략기획팀,유혜호,일반,팀원,매니저,7,경영기획,2007-05-08,1989-03-14,6178
9986120,경영지원본부,경영기획실,전략기획팀,조상원,일반,팀원,매니저,2,전략,2012-09-17,1990-01-24,5389
2572830,경영지원본부,구매지원실,자재구매팀,양윤혁,일반,팀원,매니저,3,설비구매,2010-07-25,1986-08-26,8156
9276716,경영지원본부,총무지원실,업무지원팀,정민은,일반,팀원,매니저,8,총무,2023-06-17,1989-03-16,9679
3909036,경영지원본부,구매지원실,설비구매팀,신현석,일반,팀원,매니저,5,설비구매,2020-10-29,1993-03-19,0180
5402442,경영지원본부,재경실,회계팀,한승석,일반,팀원,매니저,2,재무,2020-12-21,1995-01-22,1341
9530008,경영지원본부,구매지원실,구매기획팀,임태수,일반,팀원,책임매니저,5,구매기획,2009-01-26,1979-09-17,5227
7699340,경영지원본부,재경실,재무팀,고태희,일반,팀원,책임매니저,10,재무,2009-07-27,1977-06-19,2279
4441227,경영지원본부,총무지원실,자산관리팀,장서연,일반,팀원,매니저,4,자산관리,2023-01-23,2000-06-30,6334
3356461,경영지원본부,경영기획실,사업관리팀,심승경,일반,팀원,매니저,1,사업관리,2013-08-21,1992-03-25,6817
8513121,경영지원본부,총무지원실,총무팀,박서준,일반,팀원,매니저,2,총무,2017-09-06,2002-10-10,1449
3469710,경영지원본부,총무지원실,업무지원팀,유상윤,일반,팀원,매니저,8,자산관리,2011-11-04,1990-12-27,4445
9456785,경영지원본부,구매지원실,설비구매팀,문진원,일반,팀원,매니저,7,구매기획,2007-04-23,1997-10-19,1785
6490963,경영지원본부,구매지원실,구매기획팀,유재희,일반,팀원,매니저,2,구매기획,2025-03-03,1990-12-09,8438
5706674,경영지원본부,재경실,회계팀,최승윤,일반,팀원,책임매니저,7,세무,2012-06-25,1990-02-20,4399
5578949,경영지원본부,경영기획실,경영기획팀,문진우,일반,팀원,매니저,7,경영기획,2024-06-13,1995-11-03,1727
2792029,경영지원본부,경영기획실,사업관리팀,고민은,일반,팀원,매니저,6,경영기획,2013-05-21,1989-01-20,7471
8979517,경영지원본부,재경실,재무팀,유하수,일반,팀원,책임매니저,7,세무,1997-03-25,1989-12-16,1435
5645726,경영지원본부,총무지원실,자산관리팀,홍하희,일반,팀원,책임매니저,6,자산관리,2011-04-13,1984-07-19,4839
7171962,경영지원본부,총무지원실,자산관리팀,홍진원,일반,팀원,매니저,4,업무지원,2026-01-21,1999-08-16,8251
6650190,경영지원본부,인재경영실,인재개발팀,서진준,일반,팀원,책임매니저,6,HRD,2021-01-17,1990-04-01,8525
5610816,경영지원본부,총무지원실,자산관리팀,송승경,일반,팀원,매니저,7,총무,2008-08-08,1990-03-06,8505
1448615,경영지원본부,경영기획실,사업관리팀,양태현,일반,팀원,매니저,6,경영기획,2015-10-31,1985-10-21,6642
5425732,경영지원본부,경영기획실,사업관리팀,서혜호,일반,팀원,매니저,7,경영기획,2019-03-01,1993-08-10,9192
7076867,경영지원본부,재경실,세무팀,윤서영,일반,팀원,매니저,4,재무,2014-06-09,2001-06-05,6293
7605827,경영지원본부,인재경영실,HR기획팀,오진진,일반,팀원,책임매니저,10,인사운영,1996-12-21,1973-07-24,5845
9187017,경영지원본부,총무지원실,총무팀,박주원,일반,팀원,매니저,7,총무,2018-07-16,1999-12-20,4371
9035335,경영지원본부,재경실,회계팀,전민빈,일반,팀원,매니저,7,세무,2014-10-16,1985-09-29,9484
3901237,경영지원본부,재경실,세무팀,이재우,일반,팀원,매니저,1,재무,2022-08-19,1988-09-23,8719
7273508,경영지원본부,재경실,세무팀,백주원,일반,팀원,책임매니저,2,재무,2001-06-23,1979-12-22,3456
8659502,경영지원본부,총무지원실,업무지원팀,유준성,일반,팀원,책임매니저,1,자산관리,2008-05-27,1982-06-12,7572
4449245,경영지원본부,총무지원실,총무팀,홍재윤,임원,실장,상무,5,업무지원,1997-07-04,1972-05-12,6914
7991774,경영지원본부,총무지원실,업무지원팀,장혜지,일반,팀원,매니저,6,업무지원,2020-09-24,1985-06-22,9212
9803185,경영지원본부,재경실,재무팀,문태은,일반,팀원,매니저,7,세무,2008-10-04,1991-05-04,7818
3802674,경영지원본부,인재경영실,HR기획팀,한진민,일반,팀장,책임매니저,3,HRD,2019-02-14,1983-08-22,7920
8925617,경영지원본부,재경실,세무팀,백성윤,일반,팀원,책임매니저,5,재무,2007-08-14,1989-01-01,2900
8065596,경영지원본부,구매지원실,설비구매팀,권도연,일반,팀원,매니저,8,구매기획,2024-03-19,1995-09-22,3686
2807147,경영지원본부,경영기획실,전략기획팀,조민윤,일반,팀원,책임매니저,7,경영기획,2005-01-01,1972-02-10,2143
4642967,경영지원본부,총무지원실,자산관리팀,윤혜석,일반,팀원,매니저,8,총무,2017-03-03,1987-05-23,3494
9653738,경영지원본부,구매지원실,자재구매팀,허예아,일반,팀원,책임매니저,3,자재구매,2006-03-27,1988-12-05,6797
2867886,경영지원본부,인재경영실,인재개발팀,전진우,일반,팀원,매니저,8,HR기획,2008-01-26,1992-06-01,2018
